Point	x_mm	y_mm	Ba_at	Zr_at	Y_at	Co_at	Fe_at	Sigma_elec	d_um	Temp_C
1	0	0	0.46026275	0.45421875	0.057394493	0.014601499	0.013522498	3.9257531e-11	0.17908999	265
2	0	1.5	0.45901075	0.4565942	0.05649326	0.014616234	0.013285547	1.9562742e-11	0.18516199	265
3	0	3	0.45775875	0.45896965	0.055592023	0.014630971	0.013048596	2.0469583e-11	0.19123399	265
4	-4	0	0.45668906	0.45557415	0.059068494	0.014199198	0.014469099	2.0896855e-11	0.19423001	265
5	-4	1.5	0.45564324	0.45746109	0.058529526	0.014159359	0.014206791	1.9798076e-11	0.20056	265
6	-4	3	0.45459741	0.45934802	0.057990558	0.014119519	0.013944482	2.0541161e-11	0.20689	265
7	-8	0	0.45730519	0.45330849	0.0625166	0.011883901	0.0149858	1.9387391e-11	0.20555	265
8	-8	1.5	0.45575982	0.45527604	0.0620993	0.012124141	0.014740711	1.9205578e-11	0.21241879	265
9	-8	3	0.45421442	0.45724359	0.061682001	0.012364381	0.014495624	2.0784917e-11	0.2192876	265
10	-12	0	0.45136911	0.44910839	0.0708929	0.0122041	0.0164255	1.9379932e-11	0.21636	265
11	-12	1.5	0.45062354	0.45078835	0.070095323	0.012342581	0.016150208	1.9909083e-11	0.2232444	265
12	-12	3	0.44987801	0.45246828	0.069297738	0.01248106	0.015874917	2.0732709e-11	0.23012879	265
13	-16	0	0.4499082	0.44691131	0.074329197	0.0117892	0.0170621	1.9261171e-11	0.22416	265
14	-16	1.5	0.44917676	0.44856668	0.073645763	0.011755048	0.016855784	2.0072773e-11	0.2309808	265
15	-16	3	0.44844529	0.45022202	0.072962329	0.011720896	0.016649468	2.1505213e-11	0.2378016	265
16	-20	0	0.45116293	0.43984467	0.079307497	0.010546599	0.019138297	1.7426964e-11	0.22804999	265
17	-20	1.5	0.45025826	0.44189125	0.078392409	0.010605952	0.018852146	1.9068322e-11	0.2350208	265
18	-20	3	0.44935355	0.44393784	0.077477321	0.010665303	0.018565994	2.1563158e-11	0.24199159	265
19	-24	0	0.44890571	0.4359014	0.085816398	0.009145	0.020231498	1.6646434e-11	0.23108999	265
20	-24	1.5	0.4482227	0.43735921	0.085209951	0.0092351316	0.019972997	1.7944876e-11	0.2375904	265
21	-24	3	0.44753972	0.43881702	0.084603511	0.0093252631	0.019714491	1.9929136e-11	0.2440908	265
22	-28	0	0.44818455	0.42959934	0.090985015	0.0097350003	0.021496102	1.5431295e-11	0.22897001	265
23	-28	1.5	0.44748917	0.43098214	0.090550311	0.009654385	0.021323998	1.8716148e-11	0.2350672	265
24	-28	3	0.44679382	0.43236491	0.090115607	0.0095737688	0.021151893	1.6697069e-11	0.2411644	265
25	-32	0	0.4478859	0.42528358	0.094829999	0.0081318999	0.0238686	1.4097517e-11	0.22334	265
26	-32	1.5	0.44703346	0.42646912	0.094520375	0.0082834354	0.023693629	1.5076764e-11	0.229022	265
27	-32	3	0.44618103	0.42765459	0.094210744	0.0084349718	0.023518655	7.5745507e-11	0.234704	265
28	-36	0	0.44535035	0.41713014	0.10147851	0.0076852008	0.028355803	1.2087678e-11	0.21583	265
29	-36	1.5	0.44501033	0.41857395	0.10073984	0.0076537966	0.028022094	1.3304086e-11	0.2207848	265
30	-36	3	0.44467029	0.42001778	0.10000116	0.0076223928	0.027688386	2.7967026e-11	0.2257396	265
31	-40	0	0.43317121	0.40941319	0.11085301	0.0096810004	0.0368816	2.4586536e-11	0.20879	265
32	-40	1.5	0.43395579	0.41060764	0.10957974	0.0093973801	0.036459453	2.4102805e-11	0.2126192	265
33	-40	3	0.43474039	0.41180205	0.10830648	0.0091137597	0.036037304	1.1957313e-11	0.2164484	265
34	0	12.5	0.4498294	0.47401419	0.0498842	0.014724299	0.011547901	3.6759526e-11	0.22969	265
35	0	14	0.44994852	0.47468492	0.049247243	0.014693748	0.011425597	4.2081252e-11	0.22930241	265
36	0	15.5	0.45006761	0.47535563	0.048610285	0.014663197	0.011303293	2.1815752e-11	0.2289148	265
37	-4	12.5	0.44797391	0.47129861	0.054577097	0.013867199	0.0122832	2.4813283e-11	0.24698	265
38	-4	14	0.44807807	0.47216335	0.053691208	0.013939692	0.01212768	2.7029967e-11	0.24654201	265
39	-4	15.5	0.44818226	0.47302806	0.052805323	0.014012184	0.011972159	2.6412055e-11	0.246104	265
40	-8	12.5	0.44442689	0.46970469	0.059039101	0.013885899	0.0129434	2.9918332e-11	0.26278999	265
41	-8	14	0.44453138	0.47062108	0.058122423	0.013873552	0.012851575	5.5334908e-06	0.261902	265
42	-8	15.5	0.44463584	0.47153747	0.057205737	0.013861204	0.012759752	3.1108602e-11	0.26101401	265
43	-12	12.5	0.44515619	0.46310791	0.064246401	0.013358099	0.0141314	3.2529826e-11	0.27373001	265
44	-12	14	0.44517267	0.46400675	0.063400805	0.013279116	0.01414064	3.2261461e-11	0.27280959	265
45	-12	15.5	0.44518915	0.46490562	0.062555216	0.013200132	0.01414988	3.3414976e-11	0.27188921	265
46	-16	12.5	0.44381276	0.46070594	0.068633907	0.011504601	0.015342802	3.279935e-11	0.28099999	265
47	-16	14	0.44401699	0.4612667	0.067857876	0.011616597	0.015241845	7.0442485e-11	0.2797544	265
48	-16	15.5	0.44422123	0.46182743	0.067081846	0.011728593	0.015140889	3.3907509e-11	0.27850881	265
49	-20	12.5	0.44362381	0.45689949	0.071681798	0.0110412	0.0167537	3.5418602e-11	0.28613999	265
50	-20	14	0.44381115	0.45747522	0.070967771	0.011151504	0.016594363	3.5942704e-11	0.28430399	265
51	-20	15.5	0.44399846	0.45805097	0.070253752	0.011261808	0.016435029	3.5788896e-11	0.28246799	265
52	-24	12.5	0.44321406	0.44804984	0.080762692	0.0098960986	0.018077299	3.4722711e-11	0.28525999	265
53	-24	14	0.44370961	0.44890311	0.079469465	0.0099837705	0.01793403	3.5096905e-11	0.2831552	265
54	-24	15.5	0.44420514	0.44975644	0.078176238	0.010071443	0.017790763	3.4434086e-10	0.28105041	265
55	-28	12.5	0.44238982	0.44112259	0.087362498	0.0090632001	0.020061901	2.9459161e-11	0.27978	265
