FORMULA,IDENTIFIER: Sample number,PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1.0O3,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,
