FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: FWHM of 200 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),PROPERTY: Position of 200 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.91497Co0.41Fe0.29949Y0.05545Zr0.23507O3,01119,1,1,1,4.1178832000000005,0.20162,0.44029531,0.43337402,,5028.9097,1488.3486,,13.713830999999999,30.667690000000004,37.754954999999995,,5.4000001,44.141998,0.8900023000653983,2.15000555633776,1.4900038506712847,137.32735490009097,1.6991588000000002,1.4369545,0.8301600916666667,67.2614840625,0.9149676354096642,0.5237899483352575,1.4962238236059389,1.7948391709361577,2.0416937986751096,23_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,18.5,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba0.90967Co0.38126Fe0.31445Y0.05695Zr0.24734O3,01119,2,1,2,4.1186042,0.21868999,0.45181292,0.40511239,,5104.0259,1588.9165,,13.056001,30.662188,37.755291,,9.397999800000001,44.141998,0.8900028754341599,2.1500069462735323,1.4900048139290991,137.32744367949087,1.6906535000000003,1.4408180000000002,0.8329437916666667,67.6558624932,0.9096670610250096,0.5264253588533426,1.4922127196311623,1.7888419708942134,2.0297937032920608,23_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,18.5,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba0.9184Co0.35853Fe0.33097Y0.05797Zr0.25253O3,01119,3,1,3,4.1193099,0.23284000000000002,0.46404752,0.40638444,,5149.1689,1534.8859,,13.030198,30.656809000000003,37.74725,,13.39599,44.141998,0.8899997499824844,2.1499993960251027,1.4899995814313503,137.32696142229733,1.6862998,1.4431409999999998,0.8350870750000001,67.80300689785,0.918400257995675,0.5277826338961106,1.4898054978862794,1.7842445728564893,2.025381582695736,23_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,18.5,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba0.91024Co0.33291Fe0.34468Y0.06342Zr0.25899O3,01119,4,1,4,4.1219358,0.2437,0.46669686,0.41130191,,5494.6431,1586.7101,,13.349842,30.636796999999998,37.716072,,17.393998999999997,44.141998,0.8900037747542605,2.150009118788382,1.4900063195324136,137.3275824445824,1.6784643,1.447571,0.8383137500000001,68.13261731444999,0.9102361394182636,0.5302488559061164,1.4852529643025332,1.7773850417369552,2.015592352936911,23_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,18.5,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba0.91288Co0.30896Fe0.36225Y0.06678Zr0.262O3,01119,5,1,5,4.1166811,0.25246,0.44647634,0.38211191,,6051.6763,2006.0747,,13.643188,30.676865000000003,37.757328,,21.391991,44.141998,0.8899952055486039,2.1499884178983124,1.4899919733341795,137.32626021614956,1.6736939,1.4505500000000002,0.8409735916666667,68.2756718402,0.9128849177329982,0.5317550631860485,1.4821884236312517,1.7717464473304907,2.0113498192674437,23_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,18.5,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba0.9092Co0.28646Fe0.37552Y0.0701Zr0.26793O3,01119,6,1,6,4.1074491,0.25525999,0.51419276,0.48625585,,5501.7173,1727.4775,,13.649268,30.747515000000003,37.83168,,25.391991,44.141998,0.8900021959824258,2.1500053049013657,1.4900036764200162,137.3273388400883,1.6676153,1.4539205000000002,0.8435513666666667,68.5268638447,0.9091977566491066,0.5336975476193015,1.4787640073177077,1.7663461115685657,2.003992757516357,23_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,18.5,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba0.90933Co0.26566Fe0.38806Y0.06981Zr0.27647O3,01119,7,1,7,4.1068206,0.25363001,0.48529431,0.45110881,,5641.689,1812.2111,,13.415522,30.752338,37.851757,,29.38802,44.141998,0.8900012840794667,2.1500031019897228,1.4900021497510172,137.3271981334617,1.6624639,1.4561115,0.8453031833333333,68.7546199522,0.9093286880333744,0.5353507430022791,1.4765374093877583,1.7626837081997075,1.997352297619202,23_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,18.5,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba0.90902Co0.25065Fe0.40503Y0.07034Zr0.27398O3,01119,8,1,8,4.1126294,0.24743,0.47294199,0.4198409000000001,,5672.354,1830.9989,,13.437954999999999,30.707832,37.809883,,33.386009,44.141998,0.8899957564125499,2.1499897486370587,1.4899928955670778,137.32634521445644,1.6626351000000001,1.4567005,0.8466472250000001,68.63769468574999,0.9090243342969179,0.535292293788667,1.475931221714456,1.7598745399148714,2.0007423886129883,23_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,18.5,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba0.90969Co0.23657Fe0.41599Y0.07009Zr0.27736O3,01119,9,1,9,4.111754400000001,0.23385999999999998,0.46959072,0.43373159,,5384.7515,1648.3158,,13.581536999999999,30.714529,37.799881,,37.384009999999996,44.141998,0.8900025048715159,2.1500060510941115,1.4900041935489423,137.3273865016749,1.6604119000000002,1.4578255,0.8478192916666667,68.70608715765,0.9096874397189257,0.5360130849890414,1.4748034322997585,1.7574549295992672,1.9987659344734543,23_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,18.5,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba0.90364Co0.22454Fe0.43017Y0.0695Zr0.27579O3,01119,10,1,10,4.1126008,0.21943000000000001,0.46765709,0.4199791,,5116.6875,1461.2159,,13.422574,30.708052000000002,37.797726000000004,,41.381989000000004,44.141998,0.8899999670180131,2.149999920324414,1.4899999447829657,137.32699491087942,1.6609369999999999,1.4579415,0.8487008916666667,68.5933267903,0.9036400334874649,0.5358420981759171,1.4746818856068051,1.7556243423486042,2.0020459910146724,23_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,18.5,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
