Point	x_mm	y_mm	Ba_at	Zr_at	Y_at	Co_at	Fe_at	ASR	Temp_C
1	0	0	0.46267036	0.07012859	0	0.17484495	0.2923561	142065.36	437
2	-4	0	0.46390739	0.063459717	0	0.18761316	0.28501973	72540.414	437
3	-8	0	0.46337727	0.063215911	0	0.19955245	0.27385437	64687.75	437
4	-12	0	0.46365985	0.058493283	0	0.21344112	0.26440576	83228.016	437
5	-16	0	0.46379662	0.0574819	0	0.2270121	0.2517094	89968.961	437
6	-20	0	0.46489513	0.055643201	0	0.23787585	0.24158582	145926.98	437
7	-24	0	0.46171278	0.055092104	0	0.25026017	0.23293494	84862.273	437
8	-28	0	0.46266514	0.050491877	0	0.26205051	0.22479248	72134.109	437
9	-32	0	0.46372071	0.049901132	0	0.27159119	0.21478699	70236.586	437
10	-36	0	0.46006098	0.049638215	0	0.2818214	0.20847939	85363.359	437
11	-40	0	0.4552795	0.047562636	0	0.28856531	0.20859256	122836.27	437
12	0	3.75	0.46334517	0.074331537	0	0.17011282	0.29221046	159859.94	437
13	-4	3.75	0.46406907	0.069623597	0	0.18106027	0.28524709	85727.656	437
14	-8	3.75	0.46336934	0.06985791	0	0.19199628	0.27477649	70878.633	437
15	-12	3.75	0.46420193	0.065501735	0	0.20491484	0.26538152	30983.016	437
16	-16	3.75	0.46417478	0.063813917	0	0.21869311	0.25331822	14882.038	437
17	-20	3.75	0.46506414	0.061823383	0	0.2303084	0.2428041	16189.884	437
18	-24	3.75	0.46299246	0.060508084	0	0.24356866	0.23293081	13954.954	437
19	-28	3.75	0.46347293	0.056506831	0	0.25658134	0.22343887	39188.227	437
20	-32	3.75	0.46503955	0.054557532	0	0.26760554	0.21279736	39070.102	437
21	-36	3.75	0.46223038	0.05376691	0	0.27877453	0.20522816	1381766.8	437
22	-40	3.75	0.45863053	0.051170666	0	0.28638664	0.20381217	45323.758	437
23	0	7.5	0.46402001	0.078534491	0	0.16538069	0.29206482	98200.875	437
24	-4	7.5	0.46423072	0.075787477	0	0.17450739	0.28547442	65098.762	437
25	-8	7.5	0.46336138	0.076499902	0	0.18444012	0.27569857	22269.18	437
26	-12	7.5	0.464744	0.072510183	0	0.19638854	0.26635727	11272.034	437
27	-16	7.5	0.46455291	0.070145935	0	0.2103741	0.25492704	7534.7959	437
28	-20	7.5	0.46523312	0.068003558	0	0.22274095	0.24402237	7606.3301	437
29	-24	7.5	0.46427211	0.065924063	0	0.23687711	0.23292671	7994.0337	437
30	-28	7.5	0.46428075	0.062521785	0	0.25111219	0.22208527	8725.2705	437
31	-32	7.5	0.46635845	0.059213933	0	0.2636199	0.21080773	13055.24	437
32	-36	7.5	0.46439978	0.057895605	0	0.27572766	0.20197695	38723.27	437
33	-40	7.5	0.46198159	0.054778691	0	0.28420794	0.19903177	32518.625	437
34	0	11.5	0.46473983	0.083017632	0	0.16033308	0.29190946	75456.781	437
35	-4	11.5	0.46440318	0.082362279	0	0.16751763	0.28571692	30161.27	437
36	-8	11.5	0.46335292	0.083584689	0	0.17638023	0.27668217	13846.884	437
37	-12	11.5	0.4653222	0.079985864	0	0.18729386	0.26739809	9030.4141	437
38	-16	11.5	0.46495628	0.07690008	0	0.20150051	0.25664312	20728.229	437
39	-20	11.5	0.46541336	0.074595757	0	0.21466902	0.24532187	6721.2803	437
40	-24	11.5	0.46563709	0.071701117	0	0.22973947	0.23292232	6162.6108	437
41	-28	11.5	0.4651424	0.068937734	0	0.24527845	0.2206414	7225.6777	437
42	-32	11.5	0.46776527	0.064180762	0	0.25936854	0.20868543	7508.689	437
43	-36	11.5	0.46671379	0.06229955	0	0.27247766	0.19850899	23425.506	437
44	-40	11.5	0.46555603	0.058627248	0	0.28188404	0.19393267	32894738	437
45	0	15.25	0.46529442	0.086246252	0	0.15796059	0.29049873	79888.812	437
46	-4	15.25	0.46437305	0.08744859	0	0.16352187	0.28465649	26036.891	437
47	-8	15.25	0.46329731	0.089072086	0	0.17137295	0.27625766	11606.331	437
48	-12	15.25	0.46560559	0.086025864	0	0.18130624	0.26706231	6067.7979	437
49	-16	15.25	0.46512204	0.082569063	0	0.19545676	0.25685215	5877.9248	437
50	-20	15.25	0.46545669	0.0801742	0	0.20910166	0.24526744	14583.273	437
51	-24	15.25	0.46667397	0.076688297	0	0.2247875	0.23185022	4197.1704	437
52	-28	15.25	0.46584016	0.074464187	0	0.24117848	0.21851717	5427.29	437
53	-32	15.25	0.46881607	0.06868431	0	0.25644201	0.20605761	8583.1455	437
54	-36	15.25	0.46867174	0.066201791	0	0.27025688	0.19486959	16807.176	437
55	-40	15.25	0.46842149	0.062189002	0	0.28038865	0.18900086	39042.238	437
56	0	19	0.46506757	0.08314167	0	0.17092575	0.28086501	107187.05	437
57	-4	19	0.46309644	0.085530646	0	0.17614734	0.27522558	25829.861	437
58	-8	19	0.46293196	0.087054551	0	0.18293339	0.2670801	10750.333	437
59	-12	19	0.46420741	0.08577098	0	0.19182003	0.25820157	6619.7051	437
60	-16	19	0.46390697	0.083928339	0	0.20420216	0.24796253	4046.5059	437
61	-20	19	0.46468329	0.081841365	0	0.21653484	0.2369405	3807.6274	437
62	-24	19	0.46613279	0.078888297	0	0.23114276	0.22383615	4773.0215	437
63	-28	19	0.46582252	0.076815367	0	0.24597825	0.21138385	5884.7686	437
64	-32	19	0.46812445	0.072194278	0	0.26039979	0.19928147	6956.7427	437
65	-36	19	0.4692553	0.068632104	0	0.27340567	0.18870692	14453.996	437
66	-40	19	0.46813053	0.065449998	0	0.28333461	0.18308483	875970.25	437
67	0	23	0.4648256	0.079830118	0	0.18475525	0.27058905	129116.32	437
