Point	Row	Column	y_mm
1	1	1	44.14201
2	1	2	44.14201
3	1	3	44.14201
4	1	4	44.14201
5	1	5	44.14201
6	1	6	44.14201
7	1	7	44.14201
8	1	8	44.14201
9	1	9	44.14201
10	1	10	44.14201
11	1	11	44.14201
12	2	1	31.644011
13	2	2	31.644011
14	2	3	31.644011
15	2	4	31.644011
16	2	5	31.644011
17	2	6	31.644011
18	2	7	31.644011
19	2	8	31.644011
20	2	9	31.644011
21	2	10	31.644011
22	2	11	31.644011
23	3	1	19.146
24	3	2	19.146
25	3	3	19.146
26	3	4	19.146
27	3	5	19.146
28	3	6	19.146
29	3	7	19.146
30	3	8	19.146
31	3	9	19.146
32	3	10	19.146
33	3	11	19.146
34	4	1	6.6500001
35	4	2	6.6500001
36	4	3	6.6500001
37	4	4	6.6500001
38	4	5	6.6500001
39	4	6	6.6500001
40	4	7	6.6500001
41	4	8	6.6500001
42	4	9	6.6500001
43	4	10	6.6500001
44	4	11	6.6500001
